lien,Emmanuel Macron,Marine Le Pen
https://www.journaldunet.com/management/ville/voelfling-les-bouzonville/ville-57749,48.91,51.09
https://www.journaldunet.com/management/ville/audembert/ville-62052,53.71,46.29
https://www.journaldunet.com/management/ville/lagrauliere/ville-19100,51.43,48.57
https://www.journaldunet.com/management/ville/saint-jean-d-aigues-vives/ville-09262,46.05,53.95
https://www.journaldunet.com/management/ville/toges/ville-08453,30.61,69.39
https://www.journaldunet.com/management/ville/vieux/ville-14747,77.43,22.57
https://www.journaldunet.com/management/ville/flavy-le-martel/ville-02315,37.92,62.08
https://www.journaldunet.com/management/ville/saint-georges-d-hurtieres/ville-73237,55.62,44.38
https://www.journaldunet.com/management/ville/priay/ville-01314,45.07,54.93
https://www.journaldunet.com/management/ville/saint-julien-du-gua/ville-07253,54.24,45.76
https://www.journaldunet.com/management/ville/flagey/ville-52200,42.11,57.89
https://www.journaldunet.com/management/ville/erceville/ville-45135,53.8,46.2
https://www.journaldunet.com/management/ville/prigonrieux/ville-24340,49.85,50.15
https://www.journaldunet.com/management/ville/semezanges/ville-21601,75.71,24.29
https://www.journaldunet.com/management/ville/saugnacq-et-muret/ville-40295,38.15,61.85
https://www.journaldunet.com/management/ville/cessey-sur-tille/ville-21126,48.46,51.54
https://www.journaldunet.com/management/ville/le-vigen/ville-87205,63.06,36.94
https://www.journaldunet.com/management/ville/la-chapelle-des-pots/ville-17089,50.32,49.68
https://www.journaldunet.com/management/ville/viry-noureuil/ville-02820,40.37,59.63
https://www.journaldunet.com/management/ville/talazac/ville-65438,40.0,60.0
https://www.journaldunet.com/management/ville/saint-servais/ville-22328,57.67,42.33
https://www.journaldunet.com/management/ville/nogaret/ville-31400,40.0,60.0
https://www.journaldunet.com/management/ville/marnac/ville-24254,57.48,42.52
https://www.journaldunet.com/management/ville/le-bousquet-d-orb/ville-34038,40.22,59.78
https://www.journaldunet.com/management/ville/baurech/ville-33033,64.08,35.92
https://www.journaldunet.com/management/ville/seissan/ville-32426,54.17,45.83
https://www.journaldunet.com/management/ville/saint-bauzille-de-la-sylve/ville-34241,52.88,47.12
https://www.journaldunet.com/management/ville/beccas/ville-32039,36.36,63.64
https://www.journaldunet.com/management/ville/diges/ville-89139,42.93,57.07
https://www.journaldunet.com/management/ville/la-neuville-roy/ville-60456,34.85,65.15
https://www.journaldunet.com/management/ville/saint-vulbas/ville-01390,36.08,63.92
https://www.journaldunet.com/management/ville/noisy-rudignon/ville-77338,41.92,58.08
